Column1	Country	Region	Year	Population	Life.Expectancy	Health.Expenditure
6	Australia	East Asia & Pacific	1995	18072000	78	1565
22	Brunei Darussalam	East Asia & Pacific	1995	289614	75	482
26	Cambodia	East Asia & Pacific	1995	11169233	56	19
54	Fiji	East Asia & Pacific	1995	775651	67	78
73	Indonesia	East Asia & Pacific	1995	199400339	64	20
83	Kiribati	East Asia & Pacific	1995	77248	59	70
87	Lao PDR	East Asia & Pacific	1995	4795112	58	15
98	Malaysia	East Asia & Pacific	1995	20720810	71	124
105	"Micronesia, Fed. Sts."	East Asia & Pacific	1995	107233	67	189
107	Mongolia	East Asia & Pacific	1995	2306131	61	20
111	Myanmar	East Asia & Pacific	1995	42133199	60	3
115	New Zealand	East Asia & Pacific	1995	3673400	77	1189
122	Palau	East Asia & Pacific	1995	17254	72	725
124	Papua New Guinea	East Asia & Pacific	1995	4715617	57	36
127	Philippines	East Asia & Pacific	1995	69255386	66	37
134	Samoa	East Asia & Pacific	1995	168257	68	56
139	Singapore	East Asia & Pacific	1995	3524500	76	379
142	Solomon Islands	East Asia & Pacific	1995	356404	60	47
157	Thailand	East Asia & Pacific	1995	59650157	72	99
159	Tonga	East Asia & Pacific	1995	95907	70	87
171	Vanuatu	East Asia & Pacific	1995	168263	65	43
173	Vietnam	East Asia & Pacific	1995	71995500	69	15
33	China	East Asia & Pacific	1995	1204855000	70	21
79	Japan	East Asia & Pacific	1995	125439000	80	2891
84	"Korea, Rep."	East Asia & Pacific	1995	45093000	73	442
1	Albania	Europe & Central Asia	1995	3141102	72	28
5	Armenia	Europe & Central Asia	1995	3223173	69	26
7	Austria	Europe & Central Asia	1995	7948278	77	2876
8	Azerbaijan	Europe & Central Asia	1995	7685000	65	18
13	Belarus	Europe & Central Asia	1995	10194000	68	69
14	Belgium	Europe & Central Asia	1995	10136811	77	2136
19	Bosnia and Herzegovina	Europe & Central Asia	1995	3332098	68	64
23	Bulgaria	Europe & Central Asia	1995	8406067	71	82
40	Croatia	Europe & Central Asia	1995	4669000	72	323
42	Cyprus	Europe & Central Asia	1995	855424	77	706
43	Czech Republic	Europe & Central Asia	1995	10327253	73	374
44	Denmark	Europe & Central Asia	1995	5233373	75	2827
52	Estonia	Europe & Central Asia	1995	1436634	68	165
55	Finland	Europe & Central Asia	1995	5107790	76	2010
56	France	Europe & Central Asia	1995	59555439	78	2741
59	Georgia	Europe & Central Asia	1995	4734000	70	29
62	Greece	Europe & Central Asia	1995	10634385	78	1064
70	Hungary	Europe & Central Asia	1995	10328965	70	323
71	Iceland	Europe & Central Asia	1995	267468	78	2213
75	Ireland	Europe & Central Asia	1995	3608841	76	1238
81	Kazakhstan	Europe & Central Asia	1995	15815626.38	65	48
86	Kyrgyz Republic	Europe & Central Asia	1995	4560400	66	22
88	Latvia	Europe & Central Asia	1995	2485056	66	115
93	Lithuania	Europe & Central Asia	1995	3629102	69	100
94	Luxembourg	Europe & Central Asia	1995	408625	77	2816
95	"Macedonia, FYR"	Europe & Central Asia	1995	1963484	72	201
106	Moldova	Europe & Central Asia	1995	3675099	67	30
108	Montenegro	Europe & Central Asia	1995	643227	76	134
114	Netherlands	Europe & Central Asia	1995	15459006	77	2257
119	Norway	Europe & Central Asia	1995	4359184	78	3122
128	Poland	Europe & Central Asia	1995	38594998	72	199
129	Portugal	Europe & Central Asia	1995	10030376	75	874
131	Romania	Europe & Central Asia	1995	22684270	69	53
140	Slovak Republic	Europe & Central Asia	1995	5361999	72	221
141	Slovenia	Europe & Central Asia	1995	1989872	74	785
152	Sweden	Europe & Central Asia	1995	8826939	79	2289
155	Tajikistan	Europe & Central Asia	1995	5775404	62	3
163	Turkmenistan	Europe & Central Asia	1995	4188010	63	43
165	Ukraine	Europe & Central Asia	1995	51512298.61	67	49
170	Uzbekistan	Europe & Central Asia	1995	22785000	66	29
60	Germany	Europe & Central Asia	1995	81678051	76	3124
77	Italy	Europe & Central Asia	1995	56844303	78	1438
132	Russian Federation	Europe & Central Asia	1995	148141000	65	113
145	Spain	Europe & Central Asia	1995	39387017	78	1128
153	Switzerland	Europe & Central Asia	1995	7040687	78	4271
162	Turkey	Europe & Central Asia	1995	58864649	66	95
167	United Kingdom	Europe & Central Asia	1995	58019030	77	1362
4	Argentina	Latin America & Caribbean	1995	34855160	73	615
9	"Bahamas, The"	Latin America & Caribbean	1995	279774	70	840
12	Barbados	Latin America & Caribbean	1995	263416	75	450
15	Belize	Latin America & Caribbean	1995	216500	73	120
18	Bolivia	Latin America & Caribbean	1995	7470925	61	40
21	Brazil	Latin America & Caribbean	1995	161848162	68	316
32	Chile	Latin America & Caribbean	1995	14409416	75	331
34	Colombia	Latin America & Caribbean	1995	36453337	69	171
38	Costa Rica	Latin America & Caribbean	1995	3468918	77	220
41	Cuba	Latin America & Caribbean	1995	10900795	75	112
46	Dominican Republic	Latin America & Caribbean	1995	7916309	70	108
47	Ecuador	Latin America & Caribbean	1995	11384506	71	73
49	El Salvador	Latin America & Caribbean	1995	5733401	69	106
63	Grenada	Latin America & Caribbean	1995	100163	72	191
64	Guatemala	Latin America & Caribbean	1995	10015675	65	54
67	Guyana	Latin America & Caribbean	1995	727979	62	43
68	Haiti	Latin America & Caribbean	1995	7877569	57	23
